id,en,pl
25,"It tells the stories of Deaf children of hearing parents, hearing children of Deaf parents (CODA), education of the Deaf, the difference between Polish Sign Language and a sign language system, but foremost of the lack of understanding and exclusion,” Adrianna Glegoła says and adds: “This is not an easy reading, but I definitely recommend to reach for it”.",W Polsce nigdzie poza UW nie ma zorganizowanej nauki PJM na poziomie akademickim.
26,The book Deaf by Anna Goc can be found at the University of Warsaw Library in free access in the “Social Science” section and at the library of the Faculty of Polish Studies.,Filologia polskiego języka migowego (FPJM) to kierunek studiów II stopnia uruchomiony na Wydziale Polonistyki UW w październiku 2019 roku.
27,Polish Sign Language is a visual-spatial language used in every day communication of the Deaf community in Poland.,"Są to jedyne w Polsce wysokospecjalistyczne studia z zakresu języka migowego, pozwalające na zdobycie nie tylko biegłości językowej w PJM, ale także wiedzy z obszaru lingwistyki migowej, historii i kultury Głuchych oraz podstaw translatoryki."
28,"It is not a visual representation of the phonic Polish language, because it varies from it when it comes to vocabulary and grammar.","Na UW funkcjonuje nie tylko filologia polskiego języka migowego, ale także lektorat w systemie żetonowym."
29,"It was developed around 200 years ago, when the first school for Deaf people was opened in Warsaw.","Każdy student dowolnego kierunku może zapisać się na lektorat PJM – tak jak na lektoraty języków fonicznych, np."
30,"Besides the University of Warsaw, there is no organised teaching of Polish Sign Language on the academic level in Poland.",angielskiego czy francuskiego.
31,The Polish Sign Language Philology is a study programme opened at the UW’s Faculty of Polish Studies in October 2019.,Od tego roku na UW działają też studia podyplomowe „Polski język migowy dla nauczycieli”.
32,"Prof. Alojzy Z. Nowak was re-elected by the Electoral College of the University of Warsaw for a second term as the Rector of the University of Warsaw on 18th April, having received 281 electoral votes.There were three official candidates running in the election, where 435 votes were cast in total, with 432 being declared valid.","Kolegium Elektorów UW, podczas zebrania wyborczego 18 kwietnia, wybrało rektora Uniwersytetu na kadencję 2024–2028."
33,"Prof. Alojzy Z. Nowak received 281 votes, Prof. Łukasz Niesiołowski-Spanò received 143, and Prof. Maciej Górecki received 8.","Przez kolejne cztery lata będzie nim prof. Alojzy Z. Nowak, który otrzymał 281 głosów elektorskich.W głosowaniu na rektora oddano 435 głosów, 432 były ważne."
34,Prof. Alojzy Z. Nowak has been affiliated to the University of Warsaw since 1984.,"Prof. Alojzy Z. Nowak otrzymał 281 głosów, prof. Łukasz Niesiołowski-Spanò – 143, prof. Maciej Górecki – 8."
35,He has held a number of leadership roles including as head of the Academic Subunit for International Economics and the Academic Unit for Economics at the Faculty of Management.,Prof. Alojzy Z. Nowak został wybrany na stanowisko rektora Uniwersytetu Warszawskiego po raz drugi z rzędu.
36,He also served as Director of the European Centre.,Jest związany z uczelnią od 1984 roku.
37,"Between 1999 and 2006, Prof. Nowak was Vice-Dean of the Faculty of Management, and was the Dean of the Faculty for the 2006-2012 term.",Kierował Zakładem Międzynarodowych Stosunków Gospodarczych oraz Katedrą Gospodarki Narodowej na Wydziale Zarządzania.
38,"During the subsequent four-year period, he held the position of Vice-Rector responsible for research and cooperation.",Był też dyrektorem Centrum Europejskiego.
39,"In 2016, he was re-elected as Dean of the Faculty of Management.","W latach 1999–2006 pełnił funkcję prodziekana Wydziału Zarządzania, a następnie od 2006 do 2012 funkcję dziekana wydziału."
40,"During his academic career, he has delivered lectures at universities in France, the UK, the USA, Russia, China and Korea.",W latach 2012–2016 był prorektorem UW ds.
41,His first term as Rector of the University of Warsaw started in 2020.,badań naukowych i współpracy.
42,Election proceduresThe rector of the University is elected by the Electoral College.,W 2016 roku został ponownie wybrany dziekanem Wydziału Zarządzania.
43,"Members of the College represent each group of the University community, which includes academics, administration staff, doctoral candidates and students.","W trakcie kariery wykładał na uczelniach we Francji, Wielkiej Brytanii, Stanach Zjednoczonych, Rosji, Chinach, Korei i RPA."
44,"Independently, the electors are chosen from individual groups of the academic community in elections at every faculty or constituency.",W 2020 roku został wybrany rektorem UW.
45,Candidates for the position of rector are nominated by the University Council and the electors in a secret ballot.,Więcej na stronie: https://alojzynowak.pl/.
46,"On 6th March, the Electoral College indicated four candidates: Prof. Maciej Górecki, Prof. Łukasz Niesiołowski-Spanò, Prof. Alojzy Z. Nowak, and Prof. Sławomir Żółtek.","W wyborach kandydowały trzy osoby – oprócz prof. Alojzego Z. Nowaka, także prof. Maciej Górecki oraz prof. Łukasz Niesiołowski-Spanò."
47,The University Council nominated Prof. Alojzy Z. Nowak.,Procedura wyborczaRektor uczelni jest wybierany przez Kolegium Elektorów.
48,"The final three candidates, Prof. Maciej Górecki, Prof. Łukasz Niesiołowski-Spanò, and Prof. Alojzy Z. Nowak agreed to stand in the elections.","Członkowie Kolegium to reprezentanci wszystkich grup społeczności akademickiej – nauczycieli, pracowników niebędących nauczycielami akademickimi, doktorantów i studentów."
49,"Subsequently, the UW Senate assessed their candidatures.",Elektorów wybiera oddzielnie każda z grup społeczności akademickiej na wydziale lub w okręgu wyborczym.
50,Prof. Alojzy Z. Nowak was the only candidate to receive a positive opinion from the Senate.,Kandydatów na rektora zgłasza Rada Uczelni oraz elektorzy w tajnym głosowaniu indykacyjnym.
51,"The election was held on 18th April in the Auditorium Maximum, at the UW campus on Krakowskie Przedmieście.","6 marca Kolegium Elektorów wskazało cztery osoby: dr. hab. Macieja Góreckiego, prof. ucz., dr. hab. Łukasza Niesiołowskiego-Spanò, prof. ucz., prof. Alojzego Z. Nowaka i dr. hab. Sławomira Żółtka, prof. ucz. Rada Uczelni wskazała prof. Alojzego Z. Nowaka."
52,"On the same day, the electors also elected members of the UW Senate for the 2024–2028 term.","Zgodę na kandydowanie i objęcie urzędu w razie wygranej złożyli dr hab. Maciej Górecki, prof. ucz., dr hab. Łukasz Niesiołowski-Spanò i prof. Alojzy Z. Nowak."
53,"While analysing a vast amount of data collected by the European Space Agency’s star surveyor Gaia, a research team including UW scientists has discovered a “sleeping” black hole.",Europejscy naukowcy z udziałem badaczy Obserwatorium Astronomicznego UW odkryli „śpiącą” czarną dziurę.
54,"Its mass is estimated to be nearly thirty-three times the mass of the Sun, making it the greatest known example of this black hole in our galaxy.","Dokonali tego, przedzierając się przez ogromne zasoby danych z misji kosmicznej Gaia."
55,The discovery can influence the understanding of how massive stars evolve.The majority of the few known black holes of stellar origin (resulting from the collapse of a massive star at the end of its life) have been identified in X-ray binaries.,"Jest to największy z dotychczas poznanych tego typu obiektów, znajdujący się w okolicy Słońca, o masie prawie trzydzieści trzy razy większej od masy naszej gwiazdy."
56,"In these binaries, the X-ray emission is due to the matter lost by the star orbiting a black hole when it is sucked into the black hole.","Badana czarna dziura stanowi wyzwanie dla rozumienia ewolucji masywnych gwiazd.Materia w czarnej dziurze jest tak gęsto upakowana, że nic nie może z niej uciec, nawet światło (stąd nazwa – czarna dziura)."
57,"When the black hole does not have a companion close enough to steal matter from it, it does not emit any radiation, hence the extreme difficulty in detecting them.","Zdecydowana większość z kilkudziesięciu znanych do tej pory czarnych dziur pochodzenia gwiazdowego (powstałych w wyniku zapadnięcia się masywnej gwiazdy pod koniec jej życia) została zidentyfikowana w układach podwójnych składających się z pary czarna dziura – gwiazda, które emitują promieniowanie rentgenowskie."
58,"On 16th April, the team of space mission Gaia announced in Astronomy & Astrophysics Letter the discovery of the third dormant black hole.","W takich układach emisja promieniowania jest związana z materią, jaką traci gwiazda w trakcie zasysania jej przez czarną dziurę."
59,This happened by accident when scientists were proving the data for the publication of the next Gaia catalogue.,"Gdy czarna dziura nie ma wystarczająco bliskiego towarzysza, aby „ukraść” z niego materię, nie emituje żadnego promieniowania, stąd ekstremalna trudność w ich wykryciu."
60,The team responsible for the discovery was the Black Hole Task Force.,"16 kwietnia na łamach „Astronomy & Astrophysics Letters” zespół misji kosmicznej Gaia ogłosił odkrycie trzeciego tego typu obiektu, nazywanego uśpioną czarną dziurą."
61,The lead author of the paper is Dr Pasquale Panuzzo from the Paris Observatory in France.,Stało się to przypadkiem – podczas sprawdzania poprawności danych do kolejnego katalogu misji.
62,"The research team included also the scientists from the Astronomical Observatory, the University of Warsaw.",Dokonała tego Grupa Specjalna od Czarnych Dziur (Black Hole Task Force).
63,"The team has examined an old star in the constellation Aquila, located at 1926 light years from the Earth.",Głównym autorem artykułu jest dr Pasquale Panuzzo z Obserwatorium Paryskiego we Francji.
64,"While analysing the star movement, the researchers discovered a surprising phenomenon.",W odkrycie zaangażowani byli również naukowcy z Obserwatorium Astronomicznego (OA) UW.
65,"The star was orbiting with a dormant black hole, whose mass was around thirty three times greater than the Sun’s.","Badacze przyjrzeli się zachowaniu starej jasnej gwiazdy w gwiazdozbiorze Orła, znajdującej się w odległości 1926 lat świetlnych od Ziemi."
66,Galactic orbit of the Gaia BH3 system.,"Analizując szczegółowo ruch gwiazdy na niebie, odkryli niespodziewane zjawisko."
67,Credits: ESA/Gaia/DPAC.,"Gwiazda wykazywała ruch orbitalny z uśpioną czarną dziurą o wyjątkowo dużej masie, około trzydzieści trzy razy większej niż masa Słońca."
68,"License: CC BY-SA 3.0 IGO The unexpectedly massive black hole was named Gaia BH3, because it was already the third dormant black hole discovered by the Gaia mission.","Trajektoria ruchu układu z Gaia BH3 w naszej Galaktyke, ktorej orbita w tej chwili przechodzi przez dysk, ale w skali milionow lat wykracza poza dysk i wędruje przez otaczające go halo Galaktyki."
69,Typical masses of black holes of stellar origin known in our galaxy are ten times greater than the mass of the Sun.,Orbita ta pokrywa się z pozostałością po rozerwanej przez grawitację naszej Galaktyki innej mniejszej i starszej galaktyki.
70,"The most massive example known to date is the black hole found in the X-ray binary system of the Cygnus constellation (Cyg X-1), whose mass is estimated to be around twenty times greater than the Sun’s.Gaia BH3 is a real unicorn.","Credits: ESA/Gaia/DPAC License: CC BY-SA 3.0 IGO Jest to już trzecia uśpiona czarna dziura odkryta przez misję Gaia, dlatego została nazwana „Gaia BH3”."
71,This sort of discovery is made once in a lifetime.,Jej odkrycie ekscytuje środowisko astronomów ze względu na nietypową masę obiektu.
72,"The existence of such massive stellar black holes has so far only been suggested by the detection of gravitational waves from systems in other galaxies,” Dr Panuzzo emphasised.The quality of the data from the Gaia mission enabled the scientists to determine the mass of the black hole more precisely than ever before.",Typowa masa znanych w naszej Galaktyce czarnych dziur pochodzenia gwiazdowego jest około dziesięć razy większa niż masa Słońca.
73,The picture presents Gaia’s black holes at their positions in the sky.,Do tej pory rekord masy należał do czarnej dziury w rentgenowskim układzie podwójnym w konstelacji Łabędzia (Cyg X-1).
74,These black holes are also the closest ones to Earth that we know of.,Szacuje się ją na około 20-krotność masy Słońca.– Gaia BH3 to prawdziwy jednorożec.
75,The sky map in the background shows Gaia’s sky in colours and is not a picture.,Takiego odkrycia dokonuje się raz w życiu.
76,It is a visualisation where individual stars with their colours as observed by Gaia are plotted one by one.,"Do tej pory tak duże czarne dziury były wykrywane jedynie w odległych galaktykach dzięki obserwacjom fal grawitacyjnych – zaznacza dr Panuzzo.Jakość danych z misji Gaia umożliwiła naukowcom ustalenie masy czarnej dziury dokładniej niż kiedykolwiek wcześniej.– Przy masie trzydzieści razy większej niż ta, którą ma Słońce, obserwujemy wyniki typowe dla pomiarów mas bardzo odległych czarnych dziur obserwowanych przez eksperymenty fal grawitacyjnych."
77,Credits: ESA/Gaia/DPAC.,"Pomiary Gaia stanowią pierwszy niepodważalny dowód na istnienie tak ciężkich czarnych dziur – opowiada prof. Łukasz Wyrzykowski z OA UW, który jest członkiem zespołu Gaia od 2008 roku i należy do Grupy Specjalnej od Czarnych Dziur.Astronomowie stoją teraz przed trudnym wyzwaniem, aby wyjaśnić pochodzenie czarnych dziur tak dużych jak Gaia BH3."
78,"License: CC BY-SA 3.0 IGOWith a mass of thirty times greater than the Sun’s, we observe the results typical for black holes detected in distant galaxies via the experiments of gravitational waves.","Większość teorii przewiduje, że w miarę starzenia się masywne gwiazdy pozbywają się znacznej części swojej materii poprzez potężne wiatry, ostatecznie są one częściowo wyrzucane w przestrzeń kosmiczną, gdy gwiazda eksploduje jako supernowa."
79,"The surveys of the Gaia give us the first undoubtful prove for existing such heavy black holes,” said Prof. Łukasz Wyrzykowski from the UW’s Astronomical Observatory, a Gaia team member from 2008.","To, co pozostaje z ich jądra kurczy się dalej, aby stać się gwiazdą neutronową lub czarną dziurą, w zależności od masy."
80,The UW researcher belongs also to the Black Hole Task Force.Intriguing companionThe star orbiting the Gaia BH3 is also unusual.,"Pozostałości wystarczająco duże, by skończyć jako czarne dziury o masie trzydzieści razy większej niż masa naszego Słońca są bardzo trudne do wyjaśnienia."
81,"It is a an old star in the Galactic stellar halo, which is orbiting in the opposite direction with respect to the stars of the Galactic disk.",Gaia BH3 może pomóc w rozwiązaniu tej zagadki.
82,Its kinematic characteristics indicate that this star was part of a small galaxy that merged into the Milky Way over eight billion years ago.,"Rysunek przedstawia mapę nieba oraz płaszczyznę Drogi Mlecznej z nałożonymi lokalizacjami trzech czarnych dziur (kolejno: GaiaBH1, GaiaBH2, GaiaBH3) znalezione dzięki misji kosmicznej Gaia."
83,"Moreover, the accompanying star is also very poor in elements heavier than the lightest, hydrogen and helium, allowing the researchers to deduce that the progenitor of this high-mass black hole was a massive star, also very poor in heavy elements.Surprisingly, the chemical composition of the companion is similar to that found in old, metal-deficient stars in the Galaxy,” explained Dr Milena Ratajczak from the UW’s Astronomical Observatory, a member of the Gaia consortium.This observation confirms, for the first time, the hypothesis of certain models of stellar evolution which suggest that the high-mass black holes observed via gravitational waves were produced by the gravitational collapse of massive stars poor in heavy elements.",Gaia BH1 odkryta w 2022 roku jest ciągle najbliższą czarną dziurą od Ziemi (około 1500 lat świetlnych).
84,These early stars could evolve differently than the large ones we are observing in our galaxy.,"Gaia BH2, znaleziona w 2023 roku, znajduje się około 3800 lat świetnych od nas."
85,"Comparison of the orbits of Gaia’s black holes (red orbit, black dot) and their companion stars (blue orbit, yellow dot).","Najnowsze odkrycie, Gaia BH3 znajduje się pomiędzy BH1 a BH2, w odległości około 2000 lat świetlnych."
86,Credits: ESA/Gaia/DPAC.,"Credits: ESA/Gaia/DPAC License: CC BY-SA 3.0 IGO Intrygujący towarzyszGwiazda krążąca wokół Gaia BH3 w odległości około szesnastu razy większej niż odległość Słońce-Ziemia jest również nietypowa: to stara gwiazda-olbrzym, która uformowała się w ciągu pierwszych 2 mld lat po Wielkim Wybuchu – w czasie, gdy nasza Galaktyka zaczynała się formować."
87,License: CC BY-SA 3.0 IGOWhat next?The question of how massive stars evolve and form black holes is still not fully resolved.,Należy ona do rodziny gwiazd halo galaktycznego i porusza się w kierunku przeciwnym do gwiazd dysku galaktycznego.
88,"However, the discovery of the Gaia BH3 system will undoubtedly be the subject of further research in this area.","Jej trajektoria wskazuje, że gwiazda ta była prawdopodobnie częścią małej galaktyki lub gromady kulistej, pochłoniętej przez naszą Galaktykę ponad 8 mld lat temu."
89,"For now, it is only a preview of the full findings from Gaia, which are planned to be published in 2026.","Co więcej, gwiazda towarzysząca czarnej dziurze zawiera bardzo niewiele pierwiastków cięższych niż te najlżejsze, wodór i hel, co wskazuje, że czarna dziura mogła być również masywną gwiazdą bardzo ubogą w ciężkie pierwiastki.– Zaskakujące jest to, że skład chemiczny towarzyszki jest podobny do tego, który znajdujemy w starych, ubogich w metale gwiazdach w Galaktyce – wyjaśnia dr Milena Ratajczak z OA UW, członkini konsorcjum Gaia.Po raz pierwszy potwierdza to koncepcję, że czarne dziury o dużej masie obserwowane w eksperymentach z falami grawitacyjnymi powstały w wyniku zapadnięcia się pierwotnych masywnych gwiazd ubogich w ciężkie pierwiastki."
90,"Details of the publicationThe article “Discovery of a dormant 33 solar-mass black hole in pre-release Gaia astrometry” by the Gaia Collaboration, P. Panuzzo, et al. was published in Astronomy & Astrophysics Letters.","Te wczesne gwiazdy mogły ewoluować inaczej niż duże gwiazdy, które obecnie obserwujemy w naszej galaktyce."
91,The researchers from the Astronomical Observatory of the University of Warsaw discovered the classical Cepheid with the longest pulsation period known in our Galaxy.,Badacze z Obserwatorium Astronomicznego UW realizujący projekt OGLE odkryli cefeidę klasyczną o najdłuższym okresie pulsacji w naszej Galaktyce.
92,"This variable star is called OGLE-GD-CEP-1884, and is likely the most luminous, youngest, and most massive Cepheid known in the Milky Way.The newly discovered classical Cepheid in the Galaxy, named OGLE-GD-CEP-1884, can be categorised as the first ultra-long-period Cepheid in the Milky Way.","Gwiazda nazwana OGLE-GD-CEP-1884 jest nie tylko najjaśniejszą, ale prawdopodobnie również najmłodszą znaną cefeidą klasyczną w Drodze Mlecznej.Nowo odkryta gwiazda, która otrzymała oznaczenie OGLE-GD-CEP-1884, należy do nielicznej grupy cefeid o ekstremalnie długich okresach pulsacji (ang."
93,"The period of 78.14 days is nearly ten days longer than that of the previous record-holding Cepheid, S Vulpeculae.","ultra-long-period Cepheids, w skrócie ULPC)."
94,"This star is present in the ASAS-SN and Gaia DR3 catalogs of variable stars, yet it has been classified as a long-period variable.","Cechą tego typu obiektów jest ich duża jasność, co wykorzystywane jest do mierzenia odległości do galaktyk położonych nawet 300 mln lat świetlnych od nas."
95,"Based on more than ten years of the photometric monitoring of this star conducted by the OGLE project in the I and V bands and a radial velocity curve from the Gaia Focused Product Release, the researchers unequivocally demonstrated that this object is a fundamental-mode classical Cepheid.","Dotychczas żaden obiekt typu ULPC nie był znany w naszej Galaktyce, chociaż większość przebadanych galaktyk zawiera po kilka takich cefeid."
96,"By employing the mid-infrared period–luminosity relation, they managed to determine the distance to OGLE-GD-CEP-1884 (4.47 ± 0.34 kpc) and place it on the Milky Way map, along with about 2400 other classical Cepheids.",Nowo zidentyfikowana gwiazda została wyselekcjonowana przez prof. Igora Soszyńskiego z Obserwatorium Astronomicznego UW.
97,"Although it was overlooked in the existing catalogs of Cepheids, the researchers point out that OGLE-GD-CEP-1884 is quite a bright star in the sky, especially at longer wavelengths.","Odkryta cefeida pulsuje z okresem 78,14 dni, czyli prawie o dziesięć dni dłuższym niż wynosi okres pulsacji cefeidy S Vulpeculae, uznawanej dotychczas za najdłużej pulsującą."
98,"In addition, there might be more such long-period classical Cepheids in the Galaxy that remain undetected, and the Milky Way does not differ in the number of long-period Cepheids compared to other galaxies.","Gwiazda OGLE-GD-CEP-1884, mimo że jest ponad 25 tys."
99,The fact that this star was misclassified as an LPV in the ASAS-SN and Gaia catalogs indicates the need for continuous improvement of algorithms for the automated classification of variable stars.,"razy jaśniejsza od Słońca, nie była wcześniej zaklasyfikowana jako cefeida, ponieważ znajduje się za grubą warstwą materii międzygwiazdowej, która pochłania światło biegnące od obiektu."
100,"For now, traditional visual inspection of light curves remains the most reliable method for classifying variable stars.","Wieloletnie obserwacje fotometryczne tej gwiazdy prowadzone w świetle czerwonym przez zespół OGLE, w połączeniu z pomiarami prędkości radialnych wykonanymi przez teleskop kosmiczny Gaia, pozwoliły wykazać, że OGLE-GD-CEP-1884 jest cefeidą klasyczną."
101,"3D map of the Milky WayThe OGLE research team, led by Prof. Andrzej Udalski, has been investigating the pulsating supergiant Cepheids for years.","Jak wskazują badacze, odkrycie to oznacza, że Droga Mleczna nie jest wyjątkiem wśród innych galaktyk pod względem występowania długookresowych cefeid, a dotychczasowy brak obserwacji tego typu gwiazd w naszej Galaktyce był prawdopodobnie spowodowany tym, że ULPC są zasłonięte przez gęste obłoki pyłu międzygwiazdowego."
102,"Thus, nearly half of the discovered classical Cepheids of the Milky Way has been discovered by the astronomers from the Astronomical Observatory of the University of Warsaw.","OGLE-GD-CEP-1884 jest nie tylko najjaśniejszą, ale też prawdopodobnie najmłodszą znaną cefeidą klasyczną w Drodze Mlecznej."
103,"In 2019, the researchers led by Prof. Dorota Skowron presented a unique three-dimensional map of the Milky Way, which provides insights into the structure and history of our Galaxy.",Wiek tej gwiazdy został oszacowany na 22 mln lat.
104,"The map demonstrates that the Milky Way disk is not flat, it is warped at distances greater than 25,000 light years from the Galactic centre.","Trójwymiarowa mapaZespół badawczy OGLE, kierowany przez prof. Andrzeja Udalskiego, od lat bada gwiazdy pulsujące."
105,More about the 3D map can be found on the UW website >>Publication details:I.,W przybliżeniu połowa wszystkich cefeid klasycznych znanych obecnie w Drodze Mlecznej została odkryta przez astronomów z Obserwatorium Astronomicznego UW.
106,"Soszyński, D. M. Skowron, A. Udalski, P. Pietrukowicz, M. Gromadzki, M. K. Szymański, J. Skowron, P. Mróz, R. Poleski, S. Kozłowski, P. Iwanek, M. Wrona, K. Ulaczyk, K. Rybicki, and M. Mróz, “Discovery of the Longest-period Classical Cepheid in the Milky Way”, The Astronomical Journal Letters, 965:L17 (2024): https://iopscience.iop.org/article/10.3847/2041-8213/ad392f",W 2019 roku badacze pod kierunkiem prof. Doroty Skowron opublikowali trójwymiarową mapę naszej Galaktyki uzyskaną na podstawie rozkładu przestrzennego cefeid odkrytych przez zespół OGLE.
107,"On 9th April, the speaker of the Seimas Viktorija Čmilytė-Nielsen visited the University of Warsaw Library.",9 kwietnia przewodnicząca parlamentu litewskiego Viktorija Čmilytė-Nielsen wraz z delegacją odwiedziła Bibliotekę Uniwersytecką w Warszawie.
108,"The Lithuanian delegation met the authorities of the UW and UW students of Baltic Philology.On 9th April, Viktorija Čmilytė-Nielsen, the speaker of the Seimas of the Republic of Lithuania, visited the University of Warsaw Library.","Podczas wizyty spotkała się z władzami uczelni oraz studentami bałtystyki na UW.9 kwietnia Viktorija Čmilytė-Nielsen, przewodnicząca parlamentu Republiki Litewskiej, złożyła wizytę w BUW."
